source_file,survey_type,table_code,table_title,base,country,country_std,category,response_option,sample_n,sample_n_raw,value,unit
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,전체,전체,전체,항공권 특가 및 할인 프로모션,16360.0,(16360),15.245072391105403,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,전체,전체,전체,"이벤트성 방문(신혼여행, 프로포즈, 생일, 기념일 등)",16360.0,(16360),13.252871496596127,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,전체,전체,전체,"의료 관광(검진, 시술, 수술 등)",16360.0,(16360),12.445187529545926,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,전체,전체,전체,환율 및 현지 물가,16360.0,(16360),12.315111367548534,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,전체,전체,전체,언어소통,16360.0,(16360),10.515419925581188,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,전체,전체,전체,어학/직업 연수 및 유학,16360.0,(16360),9.267964585798197,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,전체,전체,전체,스포츠 관광(경기 관람 및 참여),16360.0,(16360),8.842202717386975,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,전체,전체,전체,종교 환경,16360.0,(16360),8.253543426374545,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,전체,전체,전체,출장 및 학회 행사 개최지,16360.0,(16360),8.035182379726711,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,전체,전체,전체,과거 방문 경험,16360.0,(16360),6.062068349446729,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,전체,전체,전체,기타,16360.0,(16360),0.6231182900992799,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,"개인 및 인플루언서가 제작한 짧은 이미지(틱톡, 인스타그램 릴스, 유튜브 쇼츠 등)",2600.0,(2600),34.23873625164209,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,음식/식문화,2600.0,(2600),29.74454398823526,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,"뉴스, 영화, 드라마, 다큐멘터리 등 대중 매체",2600.0,(2600),28.740527622331342,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,"가족, 친구, 지인 등 주변인 추천",2600.0,(2600),30.511786809591417,%
2025_잠재방한객조사_방한의향자.xlsx,방한의향자,C4,<표C4> 한국 여행 관심 계기(중복) (한국 방문의향자 기준),BASE:B5. 1) 한국 ④~⑤,중국,중국,국가/지역,관광지/관광 명소,2600.0,(2600),25.021540415348387,%
