country,base_type,sample_n,small_sample_flag,한류_관심_부재,낮은_한국_인지도,부정적_한국_이미지,불편한_언어소통,여행경비_물가,비자_출입국_절차,장거리_비행,불편한_종교환경
UAE,"방문 비의향자(B13-1A, 잠재방한객조사)",73.0,N,17.337272858040027,19.731824713061716,17.1424947871537,33.55853988612479,14.488193060870955,15.240385737749996,16.14040747984346,20.318047191283036
대만,"방문 비의향자(B13-1A, 잠재방한객조사)",32.0,N,26.77405772440682,5.494170566819469,33.81606441813501,35.78057531001589,5.499801009173126,0.0,2.6984973961820886,2.701425688017766
독일,"방문 비의향자(B13-1A, 잠재방한객조사)",176.0,N,24.64104963568236,31.642258463381,19.768192477964934,17.65662972634545,30.772490457439368,8.634921940132582,28.872323022195147,2.4423731383026412
러시아,"방문 비의향자(B13-1A, 잠재방한객조사)",93.0,N,23.20471265142835,35.79563665033016,14.121264504262376,22.803905483211235,27.747587854047495,13.579089293333807,22.946312298308445,3.4646133219131805
말레이시아,"방문 비의향자(B13-1A, 잠재방한객조사)",41.0,N,26.74192034548653,9.888765186679992,14.044125567386946,34.60937419881286,26.564933596538975,12.706327910433677,11.96840101097019,19.497580373941016
멕시코,"방문 비의향자(B13-1A, 잠재방한객조사)",86.0,N,21.697510085502216,25.924437423224983,19.919032550409472,15.53845205088374,21.47235068429241,8.22453562172245,16.496810700397223,3.3629997495002337
미국,"방문 비의향자(B13-1A, 잠재방한객조사)",155.0,N,28.152400507350077,26.663326652337883,21.841266289285294,35.64464988276229,20.188999657341057,5.130487767126579,19.230559250333954,4.105721427826401
베트남,"방문 비의향자(B13-1A, 잠재방한객조사)",9.0,Y,33.14103684182981,22.452160289160744,11.172352730567535,33.44498539100699,22.60740514189142,44.69743405019359,34.195771096572585,10.909990207407878
브라질,"방문 비의향자(B13-1A, 잠재방한객조사)",88.0,N,32.06904088166061,21.05477194559393,13.1676335278093,37.23586769067765,16.423035742679165,12.69265850126778,19.17675879594149,4.492497483385197
사우디아라비아,"방문 비의향자(B13-1A, 잠재방한객조사)",66.0,N,12.805036733478085,31.44377602848009,16.44322835377512,28.738682061987564,18.235830957056226,15.42420222655789,17.588553846021654,21.16189278920938
싱가포르,"방문 비의향자(B13-1A, 잠재방한객조사)",47.0,N,21.642948042152955,8.561577122388842,10.277248193478092,41.620014242521364,20.97095422949711,3.4059662804380357,14.777940798113168,0.0
영국,"방문 비의향자(B13-1A, 잠재방한객조사)",162.0,N,15.522683145520624,33.70416807054531,15.759127169552889,21.659133013919806,19.38402098667174,10.297661323996717,29.311560548134885,5.289871681036774
인도,"방문 비의향자(B13-1A, 잠재방한객조사)",52.0,N,15.129690770613838,22.506828011453802,13.57894280872085,29.770525583354125,21.164893536064742,16.878605377433146,14.56006672642255,13.28751845133636
인도네시아,"방문 비의향자(B13-1A, 잠재방한객조사)",17.0,Y,26.83459022966026,16.39772484212541,27.68621453620045,37.70714630476124,22.146216531559023,0.0,11.150922177126981,35.849661067345956
일본,"방문 비의향자(B13-1A, 잠재방한객조사)",165.0,N,30.375406962071278,7.773014464952549,57.54608637808409,14.500106959333763,5.296041973104654,2.236323083659089,2.260329683135133,2.759049555118031
중국,"방문 비의향자(B13-1A, 잠재방한객조사)",285.0,N,29.156341313322404,4.739467406993108,22.344355953277375,17.184909968202227,9.86789204409659,7.406936741190159,6.494888218587046,4.947626646867679
카자흐스탄,"방문 비의향자(B13-1A, 잠재방한객조사)",42.0,N,24.03626624351281,35.36391606310577,2.1412342816961583,22.014819691749587,40.54989443764993,13.166468336429386,9.038639642637182,6.448340386946398
캐나다,"방문 비의향자(B13-1A, 잠재방한객조사)",86.0,N,22.01463691734846,17.55706846397878,15.792021012681323,35.40317548969961,31.42377223024183,8.154916550942435,24.07248227365742,8.281264644636
태국,"방문 비의향자(B13-1A, 잠재방한객조사)",28.0,Y,29.971750915339268,16.11588394699428,24.934933141360762,24.343620801189576,8.847114721652284,51.645492007307304,6.562183591591804,0.0
튀르키예,"방문 비의향자(B13-1A, 잠재방한객조사)",80.0,N,10.486463731527394,13.551808733131274,15.012902125946923,30.140255979569254,21.970240188170852,15.18125124798188,23.515774115511277,8.333441001216231
프랑스,"방문 비의향자(B13-1A, 잠재방한객조사)",149.0,N,21.2258478622648,40.18666079548544,18.734932173648417,14.846635631326265,31.603529694402937,7.702725960078093,16.005543204664665,1.7030332828492645
필리핀,"방문 비의향자(B13-1A, 잠재방한객조사)",21.0,Y,18.68434931402712,18.294638755531675,35.49631876220616,40.594168582386956,18.787955332616317,16.37547930593204,16.091034312878588,0.0
호주,"방문 비의향자(B13-1A, 잠재방한객조사)",109.0,N,27.033350331655377,33.047130590899116,15.56465639349309,24.672531394798366,11.166579061012174,6.528782047586716,10.454717279305491,5.399671831825003
