source_file,survey_type,table_code,table_title,base,country,country_std,category,response_option,sample_n,sample_n_raw,value,unit
2025_잠재방한객조사_일반외국인.xlsx,일반외국인,B5A-1,<표B5A-1> 향후 3년 내(~2028년) 해외여행 목적지로서 방문 의향_1. 한국(해외여행 의향자 기준),BASE:B3. ④~⑤,전체,전체,전체,약간 방문할 의향이 있다,9623.0,(9623),31.443903738300094,%
2025_잠재방한객조사_일반외국인.xlsx,일반외국인,B5A-1,<표B5A-1> 향후 3년 내(~2028년) 해외여행 목적지로서 방문 의향_1. 한국(해외여행 의향자 기준),BASE:B3. ④~⑤,전체,전체,전체,매우 방문할 의향이 있다,9623.0,(9623),23.7471026032804,%
2025_잠재방한객조사_일반외국인.xlsx,일반외국인,B5A-1,<표B5A-1> 향후 3년 내(~2028년) 해외여행 목적지로서 방문 의향_1. 한국(해외여행 의향자 기준),BASE:B3. ④~⑤,전체,전체,전체,종합/Top2,9623.0,(9623),55.19100634158084,%
2025_잠재방한객조사_일반외국인.xlsx,일반외국인,B5A-1,<표B5A-1> 향후 3년 내(~2028년) 해외여행 목적지로서 방문 의향_1. 한국(해외여행 의향자 기준),BASE:B3. ④~⑤,전체,전체,전체,Mid,9623.0,(9623),20.075874669870135,%
2025_잠재방한객조사_일반외국인.xlsx,일반외국인,B5A-1,<표B5A-1> 향후 3년 내(~2028년) 해외여행 목적지로서 방문 의향_1. 한국(해외여행 의향자 기준),BASE:B3. ④~⑤,전체,전체,전체,Bot2,9623.0,(9623),24.733118988548824,%
2025_잠재방한객조사_일반외국인.xlsx,일반외국인,B5A-1,<표B5A-1> 향후 3년 내(~2028년) 해외여행 목적지로서 방문 의향_1. 한국(해외여행 의향자 기준),BASE:B3. ④~⑤,중국,중국,국가/지역,전혀 방문할 의향이 없다,1790.0,(1790),5.291929106056635,%
2025_잠재방한객조사_일반외국인.xlsx,일반외국인,B5A-1,<표B5A-1> 향후 3년 내(~2028년) 해외여행 목적지로서 방문 의향_1. 한국(해외여행 의향자 기준),BASE:B3. ④~⑤,중국,중국,국가/지역,별로 방문할 의향이 없다,1790.0,(1790),10.611301932412749,%
2025_잠재방한객조사_일반외국인.xlsx,일반외국인,B5A-1,<표B5A-1> 향후 3년 내(~2028년) 해외여행 목적지로서 방문 의향_1. 한국(해외여행 의향자 기준),BASE:B3. ④~⑤,중국,중국,국가/지역,방문 의향을 정하지 않았다,1790.0,(1790),21.74820719884686,%
2025_잠재방한객조사_일반외국인.xlsx,일반외국인,B5A-1,<표B5A-1> 향후 3년 내(~2028년) 해외여행 목적지로서 방문 의향_1. 한국(해외여행 의향자 기준),BASE:B3. ④~⑤,중국,중국,국가/지역,약간 방문할 의향이 있다,1790.0,(1790),36.440005902398525,%
2025_잠재방한객조사_일반외국인.xlsx,일반외국인,B5A-1,<표B5A-1> 향후 3년 내(~2028년) 해외여행 목적지로서 방문 의향_1. 한국(해외여행 의향자 기준),BASE:B3. ④~⑤,중국,중국,국가/지역,매우 방문할 의향이 있다,1790.0,(1790),25.90855586028474,%
