survey,page,topic,base_desc,group,segment,sample_n,item,value
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,20대,391,4. 대체로 만족,38.2
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,20대,391,5. 매우 만족,44.9
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,20대,391,긍정응답 (4+5) 비율,83.1
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,20대,391,5점 평균 (점),4.2
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,30대,490,1. 매우 불만족,1.3
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,30대,490,2. 대체로 불만족,2.5
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,30대,490,3. 보통,7.1
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,30대,490,4. 대체로 만족,44.6
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,30대,490,5. 매우 만족,44.5
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,30대,490,긍정응답 (4+5) 비율,89.1
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,30대,490,5점 평균 (점),4.3
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,40대,319,1. 매우 불만족,0.8
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,40대,319,2. 대체로 불만족,0.8
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,40대,319,3. 보통,9.1
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,40대,319,4. 대체로 만족,45.5
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,40대,319,5. 매우 만족,43.9
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,40대,319,긍정응답 (4+5) 비율,89.3
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,40대,319,5점 평균 (점),4.3
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,50대,277,1. 매우 불만족,1.8
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,50대,277,2. 대체로 불만족,0.9
일반외국인,229,4. 최근 1년 내 방한 경험자의 한국 방문 만족도,"(최근 1년 내 방한 경험자 base, 단위: %, 점)",연령별,50대,277,3. 보통,8.9
